time_period,time_identifier,geographic_level,country_code,country_name,starting_single_year,starting_comparative_three_year_average,ceasing_single_year,ceasing_comparative_three_year_average
2020,April,National,E92000001,England,2150,2520,1870,2340
2020,May,National,E92000001,England,2350,2810,1890,2570
2020,June,National,E92000001,England,2570,2740,2200,2410
2020,July,National,E92000001,England,2730,2950,2340,2680
2020,August,National,E92000001,England,2480,2590,2240,2470
2020,September,National,E92000001,England,2530,2570,2440,2400
2020,October,National,E92000001,England,2490,2730,2500,2520
2020,November,National,E92000001,England,2420,2790,2450,2420
2020,December,National,E92000001,England,2310,2360,2450,2360
2021,January,National,E92000001,England,1830,2520,2660,2690
2021,February,National,E92000001,England,2020,2430,2360,2390
2021,March,National,E92000001,England,2570,2650,2610,2530
